DateTime,Historian.TZINOROT.LD.SPI1.ROU1.Status.Act_Speed1.Interpolated
2022-12-01T08:22:56.000+02:00,34.62833745
2022-12-01T08:23:06.000+02:00,34.64960861
2022-12-01T08:23:16.000+02:00,34.67087978
2022-12-01T08:23:26.000+02:00,34.69215094
2022-12-01T08:23:36.000+02:00,35.15459218
2022-12-01T08:23:46.000+02:00,35.32037467
2022-12-01T08:23:56.000+02:00,36.5660696
2022-12-01T08:24:06.000+02:00,38.31196849
2022-12-01T08:24:16.000+02:00,38.35020649
2022-12-01T08:24:26.000+02:00,38.38844448
2022-12-01T08:24:36.000+02:00,39.08976492
2022-12-01T08:24:46.000+02:00,39.9032735
2022-12-01T08:24:56.000+02:00,39.94009574
2022-12-01T08:25:06.000+02:00,39.97691798
2022-12-01T08:25:16.000+02:00,40.01374022
2022-12-01T08:25:26.000+02:00,40.05056246
2022-12-01T08:25:36.000+02:00,40.0873847
2022-12-01T08:25:46.000+02:00,41.71584896
2022-12-01T08:25:56.000+02:00,41.77795305
2022-12-01T08:26:06.000+02:00,41.99252773
2022-12-01T08:26:16.000+02:00,42.29102034
2022-12-01T08:26:26.000+02:00,44.33104479
2022-12-01T08:26:36.000+02:00,44.63152982
2022-12-01T08:26:46.000+02:00,44.67474503
2022-12-01T08:26:56.000+02:00,46.12546891
2022-12-01T08:27:06.000+02:00,46.36973151
2022-12-01T08:27:16.000+02:00,46.44622504
2022-12-01T08:27:26.000+02:00,47.29123944
2022-12-01T08:27:36.000+02:00,48.49799775
2022-12-01T08:27:46.000+02:00,48.69689717
2022-12-01T08:27:56.000+02:00,49.91742726
2022-12-01T08:28:06.000+02:00,49.97960085
2022-12-01T08:28:16.000+02:00,50.92802453
2022-12-01T08:28:26.000+02:00,51.76495522
2022-12-01T08:28:36.000+02:00,53.10512355
2022-12-01T08:28:46.000+02:00,53.13755107
2022-12-01T08:28:56.000+02:00,53.1699786
2022-12-01T08:29:06.000+02:00,53.20240612
2022-12-01T08:29:16.000+02:00,53.23483365
2022-12-01T08:29:26.000+02:00,53.26726117
2022-12-01T08:29:36.000+02:00,53.2996887
2022-12-01T08:29:46.000+02:00,53.33211622
2022-12-01T08:29:56.000+02:00,53.36454375
2022-12-01T08:30:06.000+02:00,53.39697127
2022-12-01T08:30:16.000+02:00,55.14307675
2022-12-01T08:30:26.000+02:00,55.28515046
2022-12-01T08:30:36.000+02:00,55.42722417
2022-12-01T08:30:46.000+02:00,55.56929788
2022-12-01T08:30:56.000+02:00,56.69487944
2022-12-01T08:31:06.000+02:00,57.31171349
2022-12-01T08:31:16.000+02:00,57.33201064
2022-12-01T08:31:26.000+02:00,57.35230779
2022-12-01T08:31:36.000+02:00,57.37260494
2022-12-01T08:31:46.000+02:00,57.39290209
2022-12-01T08:31:56.000+02:00,57.41319924
2022-12-01T08:32:06.000+02:00,57.43349639
2022-12-01T08:32:16.000+02:00,57.45379354
2022-12-01T08:32:26.000+02:00,57.47409069
2022-12-01T08:32:36.000+02:00,57.49438784
2022-12-01T08:32:46.000+02:00,58.32992537
2022-12-01T08:32:56.000+02:00,58.94676311
2022-12-01T08:33:06.000+02:00,59.36967485
2022-12-01T08:33:16.000+02:00,59.59882253
2022-12-01T08:33:26.000+02:00,59.5964969
2022-12-01T08:33:36.000+02:00,59.59417126
2022-12-01T08:33:46.000+02:00,59.59184562
2022-12-01T08:33:56.000+02:00,59.58951999
2022-12-01T08:34:06.000+02:00,59.58719435
2022-12-01T08:34:16.000+02:00,59.58486872
2022-12-01T08:34:26.000+02:00,59.58254308
2022-12-01T08:34:36.000+02:00,59.58021745
2022-12-01T08:34:46.000+02:00,59.57789181
2022-12-01T08:34:56.000+02:00,59.57556618
2022-12-01T08:35:06.000+02:00,59.57324054
2022-12-01T08:35:16.000+02:00,59.57091491
2022-12-01T08:35:26.000+02:00,59.56858927
2022-12-01T08:35:36.000+02:00,59.56626363
2022-12-01T08:35:46.000+02:00,59.563938
2022-12-01T08:35:56.000+02:00,59.56161236
2022-12-01T08:36:06.000+02:00,59.55928673
2022-12-01T08:36:16.000+02:00,59.55696109
2022-12-01T08:36:26.000+02:00,59.55463546
2022-12-01T08:36:36.000+02:00,59.55230982
2022-12-01T08:36:46.000+02:00,59.54998419
2022-12-01T08:36:56.000+02:00,59.54765855
2022-12-01T08:37:06.000+02:00,59.54533291
2022-12-01T08:37:16.000+02:00,59.54300728
2022-12-01T08:37:26.000+02:00,59.54068164
2022-12-01T08:37:36.000+02:00,59.53835601
2022-12-01T08:37:46.000+02:00,59.53603037
2022-12-01T08:37:56.000+02:00,59.53370474
2022-12-01T08:38:06.000+02:00,59.5313791
2022-12-01T08:38:16.000+02:00,59.52905347
2022-12-01T08:38:26.000+02:00,59.52672783
2022-12-01T08:38:36.000+02:00,59.5244022
2022-12-01T08:38:46.000+02:00,59.52207656
2022-12-01T08:38:56.000+02:00,59.51975092
2022-12-01T08:39:06.000+02:00,59.51742529
2022-12-01T08:39:16.000+02:00,59.51509965
2022-12-01T08:39:26.000+02:00,59.51277402
2022-12-01T08:39:36.000+02:00,59.51044838
2022-12-01T08:39:46.000+02:00,59.50812275
2022-12-01T08:39:56.000+02:00,59.50579711
2022-12-01T08:40:06.000+02:00,59.50347148
2022-12-01T08:40:16.000+02:00,59.50114584
2022-12-01T08:40:26.000+02:00,59.49882021
2022-12-01T08:40:36.000+02:00,59.49649457
2022-12-01T08:40:46.000+02:00,59.49416893
2022-12-01T08:40:56.000+02:00,59.4918433
2022-12-01T08:41:06.000+02:00,59.48951766
2022-12-01T08:41:16.000+02:00,59.48719203
2022-12-01T08:41:26.000+02:00,59.48486639
2022-12-01T08:41:36.000+02:00,59.48254076
2022-12-01T08:41:46.000+02:00,59.48021512
2022-12-01T08:41:56.000+02:00,59.47788949
2022-12-01T08:42:06.000+02:00,59.47556385
2022-12-01T08:42:16.000+02:00,59.47323821
2022-12-01T08:42:26.000+02:00,59.47091258
2022-12-01T08:42:36.000+02:00,59.46858694
2022-12-01T08:42:46.000+02:00,59.46626131
2022-12-01T08:42:56.000+02:00,59.46393567
2022-12-01T08:43:06.000+02:00,59.46161004
2022-12-01T08:43:16.000+02:00,59.4592844
2022-12-01T08:43:26.000+02:00,59.45695877
2022-12-01T08:43:36.000+02:00,59.45463313
2022-12-01T08:43:46.000+02:00,59.4523075
2022-12-01T08:43:56.000+02:00,59.44998186
2022-12-01T08:44:06.000+02:00,59.44765622
2022-12-01T08:44:16.000+02:00,59.44533059
2022-12-01T08:44:26.000+02:00,59.44300495
2022-12-01T08:44:36.000+02:00,59.44067932
2022-12-01T08:44:46.000+02:00,59.43835368
2022-12-01T08:44:56.000+02:00,59.43602805
2022-12-01T08:45:06.000+02:00,59.43370241
2022-12-01T08:45:16.000+02:00,59.43137678
2022-12-01T08:45:26.000+02:00,59.42905114
2022-12-01T08:45:36.000+02:00,59.42672551
2022-12-01T08:45:46.000+02:00,59.42439987
2022-12-01T08:45:56.000+02:00,59.42207423
2022-12-01T08:46:06.000+02:00,59.4197486
2022-12-01T08:46:16.000+02:00,59.41742296
2022-12-01T08:46:26.000+02:00,59.41509733
2022-12-01T08:46:36.000+02:00,59.41277169
2022-12-01T08:46:46.000+02:00,59.41044606
2022-12-01T08:46:56.000+02:00,59.40812042
2022-12-01T08:47:06.000+02:00,59.40579479
2022-12-01T08:47:16.000+02:00,59.40346915
2022-12-01T08:47:26.000+02:00,59.40114352
2022-12-01T08:47:36.000+02:00,56.1660378
2022-12-01T08:47:46.000+02:00,49.40238559
2022-12-01T08:47:56.000+02:00,43.13753724
2022-12-01T08:48:06.000+02:00,36.97157049
2022-12-01T08:48:16.000+02:00,30.70219123
2022-12-01T08:48:26.000+02:00,24.53504431
2022-12-01T08:48:36.000+02:00,18.2704072
2022-12-01T08:48:46.000+02:00,12.1067729
2022-12-01T08:48:56.000+02:00,5.839881063
2022-12-01T08:49:06.000+02:00,0.001513797
2022-12-01T08:49:16.000+02:00,0.029239012
2022-12-01T08:49:26.000+02:00,0.056964227
2022-12-01T08:49:36.000+02:00,0.084689443
2022-12-01T08:49:46.000+02:00,0.112414658
2022-12-01T08:49:56.000+02:00,0.140139874
2022-12-01T08:50:06.000+02:00,0.167865089
2022-12-01T08:50:16.000+02:00,0.195590304
2022-12-01T08:50:26.000+02:00,0.22331552
2022-12-01T08:50:36.000+02:00,0.251040735
2022-12-01T08:50:46.000+02:00,0.27876595
2022-12-01T08:50:56.000+02:00,0.306491166
2022-12-01T08:51:06.000+02:00,0.334216381
2022-12-01T08:51:16.000+02:00,0.361941596
2022-12-01T08:51:26.000+02:00,0.389666812
2022-12-01T08:51:36.000+02:00,0.417392028
2022-12-01T08:51:46.000+02:00,0.445117243
2022-12-01T08:51:56.000+02:00,0.472842459
2022-12-01T08:52:06.000+02:00,0.500567674
2022-12-01T08:52:16.000+02:00,0.528292889
2022-12-01T08:52:26.000+02:00,0.556018105
